Title,Artist
A Thousand Stars,Kathy Young with The Innocents
Lady D'Arbanville,Cat Stevens
Sex Bomb,Flipper
Shining Light,Ash
Season of the Witch,Donovan
How Can I Love You More?,M People
Shangri-La,The Kinks
Dance Away,Roxy Music
I Wanna Sex You Up,Color Me Badd
The Facts of Life,Black Box Recorder
Powderfinger,Neil Young with Crazy Horse
If I Ever Feel Better,Phoenix
Every Grain of Sand,Bob Dylan
Run to the Hills,Iron Maiden
Ain't Got No Home,"Clarence ""Frogman"" Henry"
Harlem Shuffle,Bob & Earl
Here Comes Your Man,Pixies
Pump Up the Jam,Technotronic
Express Yourself,Madonna
Breaking the Law,Judas Priest
Mercedes Boy,Pebbles
Desafinado,Antonio Carlos Jobim
Raindrops Keep Falling on My Head,B.J. Thomas
Living Doll,Cliff Richard
For the Love of Money,The O'Jays
Car Wheels on a Gravel Road,Lucinda Williams
Who Are You,The Who
Untitled (How Does It Feel?),D'Angelo
United States of Whatever,Liam Lynch
Would I Lie to You,Eurythmics
Identity,X-Ray Spex
Bankrobber,The Clash
Kiss Off,Violent Femmes
Into Temptation,Crowded House
The Three Bells,The Browns
Music Is My Radar,Blur
You Know Your Right,Nirvana
I'm in Love Again,Fats Domino
Bony Maronie,Larry Williams
Anthrax,Gang of Four
You Got the Love,The Source Feat. Candi Staton
Heaven Must Be Missing an Angel,Tavares
Peaches,The Stranglers
Freeway of Love,Aretha Franklin
Couldn't Get It Right,Climax Blues Band
Bad,Michael Jackson
Sliver,Nirvana
Bug Powder Dust,Bomb the Bass
Do Wah Diddy Diddy,Manfred Mann
Destroy the Heart,The House of Love
What's Your Name,Don & Juan
Richard III,Supergrass
I Wanna Dance with Somebody,Whitney Houston
Karmacoma,Massive Attack
Hit Me with Your Best Shot,Pat Benatar
Pulling Mussels (From the Shell),Squeeze
Shipbuilding,Elvis Costello
Leave Home,The Chemical Brothers
Rich Girl,Daryl Hall and John Oates
To Cut a Long Story Short,Spandau Ballet
Waiting in Vain,Bob Marley and The Wailers
Julia,The Beatles
On Fire,Sebadoh
Frankenstein,Edgar Winter Group
New York City Boy,Pet Shop Boys
Jump to It,Aretha Franklin
The Ballad of Peter Pumpkinhead,XTC
This Is England,The Clash
Where Love Lives,Alison Limerick
Hymn 43,Jethro Tull
America: What Time Is Love,The KLF
Starting All Over Again,Mel and Tim
Goin' Back,The Byrds
Dr. Mabuse,Propaganda
I'll Be You,The Replacements
Someday We'll Be Together,Diana Ross and The Supremes
What Does Your Soul Look Like?,DJ Shadow
Faster,Manic Street Preachers
Engine No. 9,Wilson Pickett
The Time Is Now,Moloko
Build Me Up Buttercup,The Foundations
From Despair to Where,Manic Street Preachers
Shoop,Salt 'n' Pepa
Leaving Home,International Pony
As Tears Go By,Marianne Faithfull
Flashdance (What a Feeling),Irene Cara
Last Resort,Papa Roach
Walk Like an Egyptian,The Bangles
Treason (It's Just a Story),The Teardrop Explodes
I'm Bad,LL Cool J
Less Than Zero,Elvis Costello
Room 123 (She's Strange),Cameo
Domino,Van Morrison
The Lonesome Death of Hattie Carroll,Bob Dylan
Strong Island,JVC Force
Point of No Return,Exposé
Just An Illusion,Imagination
Summer Breeze,The Isley Brothers
Book of Rules,The Heptones
One Headlight,The Wallflowers
"Right Place, Wrong Time",Dr. John
Needle in a Haystack,The Velvelettes
Not Fade Away,The Rolling Stones
Handy Man,James Taylor
On,Aphex Twin
Spoonin' Rap,Spoonie Gee
Pilot,The Notwist
Hyper-Ballad,Björk
Blue Boy,Orange Juice
The First Cut Is the Deepest,P. P. Arnold
Black Is the Colour of My True Love's Hair,Nina Simone
The Middle,Jimmy Eat World
And I Love Her,The Beatles
Highly Evolved,The Vines
If You Leave Me Now,Chicago
The Mayor of Simpleton,XTC
Let's Get Serious,Jermaine Jackson
Black Or White,Michael Jackson
This Is My Country,The Impressions
Don't Stand So Close to Me,The Police
The Way I Am,Eminem
I Touch Myself,Divinyls
Gangsta Gangsta,N.W.A.
Matinee,Franz Ferdinand
Story Untold,The Nutmegs
Warm Leatherette,The Normal
Ca Plane Pour Moi,Plastic Bertrand
Someday,The Strokes
She's On It,Beastie Boys
Heartland,The The
Under My Thumb,The Rolling Stones
Rivers of Babylon,The Melodians
Just to Be With You,The Passions
Wheel of Fortune,Kay Starr
Ain't Nobody,Rufus and Chaka Khan
Evil,Howlin' Wolf
Shake Ya Ass,Mystikal
Baggy Trousers,Madness
The Battle of Evermore,Led Zeppelin
Beat Dis,Bomb the Bass
Sylvia's Mother,Dr. Hook
Serpentine Fire,"Earth, Wind & Fire"
Ch-Check It Out,Beastie Boys
Glow,Spandau Ballet
Memories,Public Image Ltd.
Wild Weekend,The Rockin' Rebels
Laid,James
Mother of Pearl,Roxy Music
Take Your Time (Do It Right),SOS Band
He's Gonna Step on You Again,John Kongos
Jazz Thing,Gang Starr
Erotica,Madonna
14 Zero Zero,Console
Little Wing,The Jimi Hendrix Experience
Brother Louie,Stories
Set It Off,Strafe
Smooth Criminal,Michael Jackson
The Beautiful People,Marilyn Manson
Burn Rubber (Why You Wanna Hurt Me),The Gap Band
I Believe to My Soul,Ray Charles
What's My Name?,Snoop Doggy Dogg
She's So High,Blur
Doctor Wu,Steely Dan
Why Does It Always Rain on Me,Travis
Why Does My Heart Feel So Bad?,Moby
Love and Affection,Joan Armatrading
Dear Prudence,The Beatles
I Wanna Be Your Lover,Prince
Out Come the Freaks,Was (Not Was)
Ha,Juvenile
Love Will Keep Us Together,Captain and Tennille
"New York, New York",Ryan Adams
Hello in There,John Prine
Why Do Lovers Break Each Other's Hearts?,Bob B. Soxx & BlueJeans
Rock & Roll Lullaby,B.J. Thomas
Undone - The Sweeter Song,Weezer
Party Doll,Buddy Knox
Having a Party,Sam Cooke
Cuts You Up,Peter Murphy
Secret Agent Man,Johnny Rivers
Love My Way,The Psychedelic Furs
I'm Every Woman,Chaka Khan
Pure Shores,All Saints
Let Her Dance,Bobby Fuller Four
Killin' Time,Clint Black
New York City,Demics
Gonna Make You Sweat,C+C Music Factory
Boss Boss,The Sonics
Party Up (Up in Here),DMX
Bullet in the Head,Rage Against the Machine
"Lover Man (Oh, Where Can You Be?)",Billie Holiday
Exodus,Bob Marley and The Wailers
Wishing Well,Terence Trent D'Arby
Coz I Luv You,Slade
Blue Moon,Elvis Presley
Things We Said Today,The Beatles
Just One Look,Doris Troy
Fire,Arthur Brown
Guilty Conscience,Eminem
Happy Together,The Turtles
A Thousand Stars,Kathy Young with The Innocents
Lady D'Arbanville,Cat Stevens
Sex Bomb,Flipper
Shining Light,Ash
Season of the Witch,Donovan
How Can I Love You More?,M People
Shangri-La,The Kinks
Dance Away,Roxy Music
I Wanna Sex You Up,Color Me Badd
The Facts of Life,Black Box Recorder
Powderfinger,Neil Young with Crazy Horse
If I Ever Feel Better,Phoenix
Every Grain of Sand,Bob Dylan
Run to the Hills,Iron Maiden
Ain't Got No Home,"Clarence ""Frogman"" Henry"
Harlem Shuffle,Bob & Earl
Here Comes Your Man,Pixies
Pump Up the Jam,Technotronic
Express Yourself,Madonna
Breaking the Law,Judas Priest
Mercedes Boy,Pebbles
Desafinado,Antonio Carlos Jobim
Raindrops Keep Falling on My Head,B.J. Thomas
Living Doll,Cliff Richard
For the Love of Money,The O'Jays
Car Wheels on a Gravel Road,Lucinda Williams
Who Are You,The Who
Untitled (How Does It Feel?),D'Angelo
United States of Whatever,Liam Lynch
Would I Lie to You,Eurythmics
Identity,X-Ray Spex
Bankrobber,The Clash
Kiss Off,Violent Femmes
Into Temptation,Crowded House
The Three Bells,The Browns
Music Is My Radar,Blur
You Know Your Right,Nirvana
I'm in Love Again,Fats Domino
Bony Maronie,Larry Williams
Anthrax,Gang of Four
You Got the Love,The Source Feat. Candi Staton
Heaven Must Be Missing an Angel,Tavares
Peaches,The Stranglers
Freeway of Love,Aretha Franklin
Couldn't Get It Right,Climax Blues Band
Bad,Michael Jackson
Sliver,Nirvana
Bug Powder Dust,Bomb the Bass
Do Wah Diddy Diddy,Manfred Mann
Destroy the Heart,The House of Love
What's Your Name,Don & Juan
Richard III,Supergrass
I Wanna Dance with Somebody,Whitney Houston
Karmacoma,Massive Attack
Hit Me with Your Best Shot,Pat Benatar
Pulling Mussels (From the Shell),Squeeze
Shipbuilding,Elvis Costello
Leave Home,The Chemical Brothers
Rich Girl,Daryl Hall and John Oates
To Cut a Long Story Short,Spandau Ballet
Waiting in Vain,Bob Marley and The Wailers
Julia,The Beatles
On Fire,Sebadoh
Frankenstein,Edgar Winter Group
New York City Boy,Pet Shop Boys
Jump to It,Aretha Franklin
The Ballad of Peter Pumpkinhead,XTC
This Is England,The Clash
Where Love Lives,Alison Limerick
Hymn 43,Jethro Tull
America: What Time Is Love,The KLF
Starting All Over Again,Mel and Tim
Goin' Back,The Byrds
Dr. Mabuse,Propaganda
I'll Be You,The Replacements
Someday We'll Be Together,Diana Ross and The Supremes
What Does Your Soul Look Like?,DJ Shadow
Faster,Manic Street Preachers
Engine No. 9,Wilson Pickett
The Time Is Now,Moloko
Build Me Up Buttercup,The Foundations
From Despair to Where,Manic Street Preachers
Shoop,Salt 'n' Pepa
Leaving Home,International Pony
As Tears Go By,Marianne Faithfull
Flashdance (What a Feeling),Irene Cara
Last Resort,Papa Roach
Walk Like an Egyptian,The Bangles
Treason (It's Just a Story),The Teardrop Explodes
I'm Bad,LL Cool J
Less Than Zero,Elvis Costello
Room 123 (She's Strange),Cameo
Domino,Van Morrison
The Lonesome Death of Hattie Carroll,Bob Dylan
Strong Island,JVC Force
Point of No Return,Exposé
Just An Illusion,Imagination
Summer Breeze,The Isley Brothers
Book of Rules,The Heptones
One Headlight,The Wallflowers
"Right Place, Wrong Time",Dr. John
Needle in a Haystack,The Velvelettes
Not Fade Away,The Rolling Stones
Handy Man,James Taylor
On,Aphex Twin
Spoonin' Rap,Spoonie Gee
Pilot,The Notwist
Hyper-Ballad,Björk
Blue Boy,Orange Juice
The First Cut Is the Deepest,P. P. Arnold
Black Is the Colour of My True Love's Hair,Nina Simone
The Middle,Jimmy Eat World
And I Love Her,The Beatles
Highly Evolved,The Vines
If You Leave Me Now,Chicago
The Mayor of Simpleton,XTC
Let's Get Serious,Jermaine Jackson
Black Or White,Michael Jackson
This Is My Country,The Impressions
Don't Stand So Close to Me,The Police
The Way I Am,Eminem
I Touch Myself,Divinyls
Gangsta Gangsta,N.W.A.
Matinee,Franz Ferdinand
Story Untold,The Nutmegs
Warm Leatherette,The Normal
Ca Plane Pour Moi,Plastic Bertrand
Someday,The Strokes
She's On It,Beastie Boys
Heartland,The The
Under My Thumb,The Rolling Stones
Rivers of Babylon,The Melodians
Just to Be With You,The Passions
Wheel of Fortune,Kay Starr
Ain't Nobody,Rufus and Chaka Khan
Evil,Howlin' Wolf
Shake Ya Ass,Mystikal
Baggy Trousers,Madness
The Battle of Evermore,Led Zeppelin
Beat Dis,Bomb the Bass
Sylvia's Mother,Dr. Hook
Serpentine Fire,"Earth, Wind & Fire"
Ch-Check It Out,Beastie Boys
Glow,Spandau Ballet
Memories,Public Image Ltd.
Wild Weekend,The Rockin' Rebels
Laid,James
Mother of Pearl,Roxy Music
Take Your Time (Do It Right),SOS Band
He's Gonna Step on You Again,John Kongos
Jazz Thing,Gang Starr
Erotica,Madonna
14 Zero Zero,Console
Little Wing,The Jimi Hendrix Experience
Brother Louie,Stories
Set It Off,Strafe
Smooth Criminal,Michael Jackson
The Beautiful People,Marilyn Manson
Burn Rubber (Why You Wanna Hurt Me),The Gap Band
I Believe to My Soul,Ray Charles
What's My Name?,Snoop Doggy Dogg
She's So High,Blur
Doctor Wu,Steely Dan
Why Does It Always Rain on Me,Travis
Why Does My Heart Feel So Bad?,Moby
Love and Affection,Joan Armatrading
Dear Prudence,The Beatles
I Wanna Be Your Lover,Prince
Out Come the Freaks,Was (Not Was)
Ha,Juvenile
Love Will Keep Us Together,Captain and Tennille
"New York, New York",Ryan Adams
Hello in There,John Prine
Why Do Lovers Break Each Other's Hearts?,Bob B. Soxx & BlueJeans
Rock & Roll Lullaby,B.J. Thomas
Undone - The Sweeter Song,Weezer
Party Doll,Buddy Knox
Having a Party,Sam Cooke
Cuts You Up,Peter Murphy
Secret Agent Man,Johnny Rivers
Love My Way,The Psychedelic Furs
I'm Every Woman,Chaka Khan
Pure Shores,All Saints
Let Her Dance,Bobby Fuller Four
Killin' Time,Clint Black
New York City,Demics
Gonna Make You Sweat,C+C Music Factory
Boss Boss,The Sonics
Party Up (Up in Here),DMX
Bullet in the Head,Rage Against the Machine
"Lover Man (Oh, Where Can You Be?)",Billie Holiday
Exodus,Bob Marley and The Wailers
Wishing Well,Terence Trent D'Arby
Coz I Luv You,Slade
Blue Moon,Elvis Presley
Things We Said Today,The Beatles
Just One Look,Doris Troy
Fire,Arthur Brown
Guilty Conscience,Eminem
Happy Together,The Turtles
A Thousand Stars,Kathy Young with The Innocents
Lady D'Arbanville,Cat Stevens
Sex Bomb,Flipper
Shining Light,Ash
Season of the Witch,Donovan
How Can I Love You More?,M People
Shangri-La,The Kinks
Dance Away,Roxy Music
I Wanna Sex You Up,Color Me Badd
The Facts of Life,Black Box Recorder
Powderfinger,Neil Young with Crazy Horse
If I Ever Feel Better,Phoenix
Every Grain of Sand,Bob Dylan
Run to the Hills,Iron Maiden
Ain't Got No Home,"Clarence ""Frogman"" Henry"
Harlem Shuffle,Bob & Earl
Here Comes Your Man,Pixies
Pump Up the Jam,Technotronic
Express Yourself,Madonna
Breaking the Law,Judas Priest
Mercedes Boy,Pebbles
Desafinado,Antonio Carlos Jobim
Raindrops Keep Falling on My Head,B.J. Thomas
Living Doll,Cliff Richard
For the Love of Money,The O'Jays
Car Wheels on a Gravel Road,Lucinda Williams
Who Are You,The Who
Untitled (How Does It Feel?),D'Angelo
United States of Whatever,Liam Lynch
Would I Lie to You,Eurythmics
Identity,X-Ray Spex
Bankrobber,The Clash
Kiss Off,Violent Femmes
Into Temptation,Crowded House
The Three Bells,The Browns
Music Is My Radar,Blur
You Know Your Right,Nirvana
I'm in Love Again,Fats Domino
Bony Maronie,Larry Williams
Anthrax,Gang of Four
You Got the Love,The Source Feat. Candi Staton
Heaven Must Be Missing an Angel,Tavares
Peaches,The Stranglers
Freeway of Love,Aretha Franklin
Couldn't Get It Right,Climax Blues Band
Bad,Michael Jackson
Sliver,Nirvana
Bug Powder Dust,Bomb the Bass
Do Wah Diddy Diddy,Manfred Mann
Destroy the Heart,The House of Love
What's Your Name,Don & Juan
Richard III,Supergrass
I Wanna Dance with Somebody,Whitney Houston
Karmacoma,Massive Attack
Hit Me with Your Best Shot,Pat Benatar
Pulling Mussels (From the Shell),Squeeze
Shipbuilding,Elvis Costello
Leave Home,The Chemical Brothers
Rich Girl,Daryl Hall and John Oates
To Cut a Long Story Short,Spandau Ballet
Waiting in Vain,Bob Marley and The Wailers
Julia,The Beatles
On Fire,Sebadoh
Frankenstein,Edgar Winter Group
New York City Boy,Pet Shop Boys
Jump to It,Aretha Franklin
The Ballad of Peter Pumpkinhead,XTC
This Is England,The Clash
Where Love Lives,Alison Limerick
Hymn 43,Jethro Tull
America: What Time Is Love,The KLF
Starting All Over Again,Mel and Tim
Goin' Back,The Byrds
Dr. Mabuse,Propaganda
I'll Be You,The Replacements
Someday We'll Be Together,Diana Ross and The Supremes
What Does Your Soul Look Like?,DJ Shadow
Faster,Manic Street Preachers
Engine No. 9,Wilson Pickett
The Time Is Now,Moloko
Build Me Up Buttercup,The Foundations
From Despair to Where,Manic Street Preachers
Shoop,Salt 'n' Pepa
Leaving Home,International Pony
As Tears Go By,Marianne Faithfull
Flashdance (What a Feeling),Irene Cara
Last Resort,Papa Roach
Walk Like an Egyptian,The Bangles
Treason (It's Just a Story),The Teardrop Explodes
I'm Bad,LL Cool J
Less Than Zero,Elvis Costello
Room 123 (She's Strange),Cameo
Domino,Van Morrison
The Lonesome Death of Hattie Carroll,Bob Dylan
Strong Island,JVC Force
Point of No Return,Exposé
Just An Illusion,Imagination
Summer Breeze,The Isley Brothers
Book of Rules,The Heptones
One Headlight,The Wallflowers
"Right Place, Wrong Time",Dr. John
Needle in a Haystack,The Velvelettes
Not Fade Away,The Rolling Stones
Handy Man,James Taylor
On,Aphex Twin
Spoonin' Rap,Spoonie Gee
Pilot,The Notwist
Hyper-Ballad,Björk
Blue Boy,Orange Juice
The First Cut Is the Deepest,P. P. Arnold
Black Is the Colour of My True Love's Hair,Nina Simone
The Middle,Jimmy Eat World
And I Love Her,The Beatles
Highly Evolved,The Vines
If You Leave Me Now,Chicago
The Mayor of Simpleton,XTC
Let's Get Serious,Jermaine Jackson
Black Or White,Michael Jackson
This Is My Country,The Impressions
Don't Stand So Close to Me,The Police
The Way I Am,Eminem
I Touch Myself,Divinyls
Gangsta Gangsta,N.W.A.
Matinee,Franz Ferdinand
Story Untold,The Nutmegs
Warm Leatherette,The Normal
Ca Plane Pour Moi,Plastic Bertrand
Someday,The Strokes
She's On It,Beastie Boys
Heartland,The The
Under My Thumb,The Rolling Stones
Rivers of Babylon,The Melodians
Just to Be With You,The Passions
Wheel of Fortune,Kay Starr
Ain't Nobody,Rufus and Chaka Khan
Evil,Howlin' Wolf
Shake Ya Ass,Mystikal
Baggy Trousers,Madness
The Battle of Evermore,Led Zeppelin
Beat Dis,Bomb the Bass
Sylvia's Mother,Dr. Hook
Serpentine Fire,"Earth, Wind & Fire"
Ch-Check It Out,Beastie Boys
Glow,Spandau Ballet
Memories,Public Image Ltd.
Wild Weekend,The Rockin' Rebels
Laid,James
Mother of Pearl,Roxy Music
Take Your Time (Do It Right),SOS Band
He's Gonna Step on You Again,John Kongos
Jazz Thing,Gang Starr
Erotica,Madonna
14 Zero Zero,Console
Little Wing,The Jimi Hendrix Experience
Brother Louie,Stories
Set It Off,Strafe
Smooth Criminal,Michael Jackson
The Beautiful People,Marilyn Manson
Burn Rubber (Why You Wanna Hurt Me),The Gap Band
I Believe to My Soul,Ray Charles
What's My Name?,Snoop Doggy Dogg
She's So High,Blur
Doctor Wu,Steely Dan
Why Does It Always Rain on Me,Travis
Why Does My Heart Feel So Bad?,Moby
Love and Affection,Joan Armatrading
Dear Prudence,The Beatles
I Wanna Be Your Lover,Prince
Out Come the Freaks,Was (Not Was)
Ha,Juvenile
Love Will Keep Us Together,Captain and Tennille
"New York, New York",Ryan Adams
Hello in There,John Prine
Why Do Lovers Break Each Other's Hearts?,Bob B. Soxx & BlueJeans
Rock & Roll Lullaby,B.J. Thomas
Undone - The Sweeter Song,Weezer
Party Doll,Buddy Knox
Having a Party,Sam Cooke
Cuts You Up,Peter Murphy
Secret Agent Man,Johnny Rivers
Love My Way,The Psychedelic Furs
I'm Every Woman,Chaka Khan
Pure Shores,All Saints
Let Her Dance,Bobby Fuller Four
Killin' Time,Clint Black
New York City,Demics
Gonna Make You Sweat,C+C Music Factory
Boss Boss,The Sonics
Party Up (Up in Here),DMX
Bullet in the Head,Rage Against the Machine
"Lover Man (Oh, Where Can You Be?)",Billie Holiday
Exodus,Bob Marley and The Wailers
Wishing Well,Terence Trent D'Arby
Coz I Luv You,Slade
Blue Moon,Elvis Presley
Things We Said Today,The Beatles
Just One Look,Doris Troy
Fire,Arthur Brown
Guilty Conscience,Eminem
Happy Together,The Turtles
A Thousand Stars,Kathy Young with The Innocents
Lady D'Arbanville,Cat Stevens
Sex Bomb,Flipper
Shining Light,Ash
Season of the Witch,Donovan
How Can I Love You More?,M People
Shangri-La,The Kinks
Dance Away,Roxy Music
I Wanna Sex You Up,Color Me Badd
The Facts of Life,Black Box Recorder
Powderfinger,Neil Young with Crazy Horse
If I Ever Feel Better,Phoenix
Every Grain of Sand,Bob Dylan
Run to the Hills,Iron Maiden
Ain't Got No Home,"Clarence ""Frogman"" Henry"
Harlem Shuffle,Bob & Earl
Here Comes Your Man,Pixies
Pump Up the Jam,Technotronic
Express Yourself,Madonna
Breaking the Law,Judas Priest
Mercedes Boy,Pebbles
Desafinado,Antonio Carlos Jobim
Raindrops Keep Falling on My Head,B.J. Thomas
Living Doll,Cliff Richard
For the Love of Money,The O'Jays
Car Wheels on a Gravel Road,Lucinda Williams
Who Are You,The Who
Untitled (How Does It Feel?),D'Angelo
United States of Whatever,Liam Lynch
Would I Lie to You,Eurythmics
Identity,X-Ray Spex
Bankrobber,The Clash
Kiss Off,Violent Femmes
Into Temptation,Crowded House
The Three Bells,The Browns
Music Is My Radar,Blur
You Know Your Right,Nirvana
I'm in Love Again,Fats Domino
Bony Maronie,Larry Williams
Anthrax,Gang of Four
You Got the Love,The Source Feat. Candi Staton
Heaven Must Be Missing an Angel,Tavares
Peaches,The Stranglers
Freeway of Love,Aretha Franklin
Couldn't Get It Right,Climax Blues Band
Bad,Michael Jackson
Sliver,Nirvana
Bug Powder Dust,Bomb the Bass
Do Wah Diddy Diddy,Manfred Mann
Destroy the Heart,The House of Love
What's Your Name,Don & Juan
Richard III,Supergrass
I Wanna Dance with Somebody,Whitney Houston
Karmacoma,Massive Attack
Hit Me with Your Best Shot,Pat Benatar
Pulling Mussels (From the Shell),Squeeze
Shipbuilding,Elvis Costello
Leave Home,The Chemical Brothers
Rich Girl,Daryl Hall and John Oates
To Cut a Long Story Short,Spandau Ballet
Waiting in Vain,Bob Marley and The Wailers
Julia,The Beatles
On Fire,Sebadoh
Frankenstein,Edgar Winter Group
New York City Boy,Pet Shop Boys
Jump to It,Aretha Franklin
The Ballad of Peter Pumpkinhead,XTC
This Is England,The Clash
Where Love Lives,Alison Limerick
Hymn 43,Jethro Tull
America: What Time Is Love,The KLF
Starting All Over Again,Mel and Tim
Goin' Back,The Byrds
Dr. Mabuse,Propaganda
I'll Be You,The Replacements
Someday We'll Be Together,Diana Ross and The Supremes
What Does Your Soul Look Like?,DJ Shadow
Faster,Manic Street Preachers
Engine No. 9,Wilson Pickett
The Time Is Now,Moloko
Build Me Up Buttercup,The Foundations
From Despair to Where,Manic Street Preachers
Shoop,Salt 'n' Pepa
Leaving Home,International Pony
As Tears Go By,Marianne Faithfull
Flashdance (What a Feeling),Irene Cara
Last Resort,Papa Roach
Walk Like an Egyptian,The Bangles
Treason (It's Just a Story),The Teardrop Explodes
I'm Bad,LL Cool J
Less Than Zero,Elvis Costello
Room 123 (She's Strange),Cameo
Domino,Van Morrison
The Lonesome Death of Hattie Carroll,Bob Dylan
Strong Island,JVC Force
Point of No Return,Exposé
Just An Illusion,Imagination
Summer Breeze,The Isley Brothers
Book of Rules,The Heptones
One Headlight,The Wallflowers
"Right Place, Wrong Time",Dr. John
Needle in a Haystack,The Velvelettes
Not Fade Away,The Rolling Stones
Handy Man,James Taylor
On,Aphex Twin
Spoonin' Rap,Spoonie Gee
Pilot,The Notwist
Hyper-Ballad,Björk
Blue Boy,Orange Juice
The First Cut Is the Deepest,P. P. Arnold
Black Is the Colour of My True Love's Hair,Nina Simone
The Middle,Jimmy Eat World
And I Love Her,The Beatles
Highly Evolved,The Vines
If You Leave Me Now,Chicago
The Mayor of Simpleton,XTC
Let's Get Serious,Jermaine Jackson
Black Or White,Michael Jackson
This Is My Country,The Impressions
Don't Stand So Close to Me,The Police
The Way I Am,Eminem
I Touch Myself,Divinyls
Gangsta Gangsta,N.W.A.
Matinee,Franz Ferdinand
Story Untold,The Nutmegs
Warm Leatherette,The Normal
Ca Plane Pour Moi,Plastic Bertrand
Someday,The Strokes
She's On It,Beastie Boys
Heartland,The The
Under My Thumb,The Rolling Stones
Rivers of Babylon,The Melodians
Just to Be With You,The Passions
Wheel of Fortune,Kay Starr
Ain't Nobody,Rufus and Chaka Khan
Evil,Howlin' Wolf
Shake Ya Ass,Mystikal
Baggy Trousers,Madness
The Battle of Evermore,Led Zeppelin
Beat Dis,Bomb the Bass
Sylvia's Mother,Dr. Hook
Serpentine Fire,"Earth, Wind & Fire"
Ch-Check It Out,Beastie Boys
Glow,Spandau Ballet
Memories,Public Image Ltd.
Wild Weekend,The Rockin' Rebels
Laid,James
Mother of Pearl,Roxy Music
Take Your Time (Do It Right),SOS Band
He's Gonna Step on You Again,John Kongos
Jazz Thing,Gang Starr
Erotica,Madonna
14 Zero Zero,Console
Little Wing,The Jimi Hendrix Experience
Brother Louie,Stories
Set It Off,Strafe
Smooth Criminal,Michael Jackson
The Beautiful People,Marilyn Manson
Burn Rubber (Why You Wanna Hurt Me),The Gap Band
I Believe to My Soul,Ray Charles
What's My Name?,Snoop Doggy Dogg
She's So High,Blur
Doctor Wu,Steely Dan
Why Does It Always Rain on Me,Travis
Why Does My Heart Feel So Bad?,Moby
Love and Affection,Joan Armatrading
Dear Prudence,The Beatles
I Wanna Be Your Lover,Prince
Out Come the Freaks,Was (Not Was)
Ha,Juvenile
Love Will Keep Us Together,Captain and Tennille
"New York, New York",Ryan Adams
Hello in There,John Prine
Why Do Lovers Break Each Other's Hearts?,Bob B. Soxx & BlueJeans
Rock & Roll Lullaby,B.J. Thomas
Undone - The Sweeter Song,Weezer
Party Doll,Buddy Knox
Having a Party,Sam Cooke
Cuts You Up,Peter Murphy
Secret Agent Man,Johnny Rivers
Love My Way,The Psychedelic Furs
I'm Every Woman,Chaka Khan
Pure Shores,All Saints
Let Her Dance,Bobby Fuller Four
Killin' Time,Clint Black
New York City,Demics
Gonna Make You Sweat,C+C Music Factory
Boss Boss,The Sonics
Party Up (Up in Here),DMX
Bullet in the Head,Rage Against the Machine
"Lover Man (Oh, Where Can You Be?)",Billie Holiday
Exodus,Bob Marley and The Wailers
Wishing Well,Terence Trent D'Arby
Coz I Luv You,Slade
Blue Moon,Elvis Presley
Things We Said Today,The Beatles
Just One Look,Doris Troy
Fire,Arthur Brown
Guilty Conscience,Eminem
Happy Together,The Turtles
A Thousand Stars,Kathy Young with The Innocents
Lady D'Arbanville,Cat Stevens
Sex Bomb,Flipper
Shining Light,Ash
Season of the Witch,Donovan
How Can I Love You More?,M People
Shangri-La,The Kinks
Dance Away,Roxy Music
I Wanna Sex You Up,Color Me Badd
The Facts of Life,Black Box Recorder
Powderfinger,Neil Young with Crazy Horse
If I Ever Feel Better,Phoenix
Every Grain of Sand,Bob Dylan
Run to the Hills,Iron Maiden
Ain't Got No Home,"Clarence ""Frogman"" Henry"
Harlem Shuffle,Bob & Earl
Here Comes Your Man,Pixies
Pump Up the Jam,Technotronic
Express Yourself,Madonna
Breaking the Law,Judas Priest
Mercedes Boy,Pebbles
Desafinado,Antonio Carlos Jobim
Raindrops Keep Falling on My Head,B.J. Thomas
Living Doll,Cliff Richard
For the Love of Money,The O'Jays
Car Wheels on a Gravel Road,Lucinda Williams
Who Are You,The Who
Untitled (How Does It Feel?),D'Angelo
United States of Whatever,Liam Lynch
Would I Lie to You,Eurythmics
Identity,X-Ray Spex
Bankrobber,The Clash
Kiss Off,Violent Femmes
Into Temptation,Crowded House
The Three Bells,The Browns
Music Is My Radar,Blur
You Know Your Right,Nirvana
I'm in Love Again,Fats Domino
Bony Maronie,Larry Williams
Anthrax,Gang of Four
You Got the Love,The Source Feat. Candi Staton
Heaven Must Be Missing an Angel,Tavares
Peaches,The Stranglers
Freeway of Love,Aretha Franklin
Couldn't Get It Right,Climax Blues Band
Bad,Michael Jackson
Sliver,Nirvana
Bug Powder Dust,Bomb the Bass
Do Wah Diddy Diddy,Manfred Mann
Destroy the Heart,The House of Love
What's Your Name,Don & Juan
Richard III,Supergrass
I Wanna Dance with Somebody,Whitney Houston
Karmacoma,Massive Attack
Hit Me with Your Best Shot,Pat Benatar
Pulling Mussels (From the Shell),Squeeze
Shipbuilding,Elvis Costello
Leave Home,The Chemical Brothers
Rich Girl,Daryl Hall and John Oates
To Cut a Long Story Short,Spandau Ballet
Waiting in Vain,Bob Marley and The Wailers
Julia,The Beatles
On Fire,Sebadoh
Frankenstein,Edgar Winter Group
New York City Boy,Pet Shop Boys
